Test ID,Category,Module,Test Case Title,Steps / Description,Endpoint / Component,Expected Result,Priority,Status,Notes
UT-P-001,Unit,HomeController,homePage returns view,Call homePage(),"GET /",Returns view name home/index and 200,High,Not Run,Page
UT-P-002,Unit,AuthController,loginPage returns view,Call loginPage(),"GET /login",Returns view login,High,Not Run,Page
UT-P-003,Unit,AuthController,accessDeniedPage returns view,Call accessDeniedPage(),"GET /access-denied",Returns view access-denied,High,Not Run,Page
UT-P-004,Unit,AdminDashboardController,getAdminDashboard returns view,Call getAdminDashboard with Model,"GET /admin/dashboard",Returns layouts/admin-dashboard; model has pageTitle pageSubtitle,Medium,Not Run,Page
UT-P-005,Unit,GuestDashboardController,getGuestDashboard returns view,Call getGuestDashboard with Model,"GET /guest/dashboard",Returns layouts/guest-dashboard; model has pageTitle pageSubtitle,Medium,Not Run,Page
UT-P-006,Unit,RegistrationController,showRegistrationForm,GET /register with optional session,"GET /register",Returns register/register; session studentData in model if present,High,Not Run,Page
UT-P-007,Unit,RegistrationController,secondPage,GET second page with session,"GET /register/second-page",Returns register/second-page; session data in model,High,Not Run,Page
UT-P-008,Unit,RegistrationController,thirdPage,GET third page with session,"GET /register/third-page",Returns register/third-page; session data in model,High,Not Run,Page
UT-P-009,Unit,RegistrationController,checkPage with and without session,GET check-page with/without session,"GET /register/check-page",With session: register/check-page; without: redirect /register,High,Not Run,Page
UT-P-010,Unit,RegistrationController,successPage,GET success after submit,"GET /register/success",Returns register/success; model studentId studentName from session,Medium,Not Run,Page
UT-P-011,Unit,RegistrationController,saveStep1 valid and invalid,POST save-step1 with valid/invalid body,"POST /register/save-step1",Valid: 200 success session has studentData; invalid: 400 errors,High,Not Run,Page
UT-P-012,Unit,RegistrationController,saveStep2 valid and no session,POST save-step2 with session or not,"POST /register/save-step2",Valid+session: 200 success; no session: 400,High,Not Run,Page
UT-P-013,Unit,RegistrationController,saveStep3 valid and no session,POST save-step3 with session or not,"POST /register/save-step3",Valid+session: 200 success; no session: 400,High,Not Run,Page
